1.01754	0	0.440279
1.43157	10184	114.62
1.92557	20368	161.879
1.98219	21440	83.0802
2.02939	22512	199.322
2.28434	24356	55.3506
2.36456	22984	175.92
2.43536	22427	132.881
2.52075	19983	165.261
2.60571	19425	110.734
2.68591	15909	175.969
2.82279	12864	171.829
2.94549	10184	191.693
3.01629	9648	199.322
3.10125	10720	276.836
3.18149	11256	175.872
3.20823	11792	175.897
4.8635	536	213.137
5.4091	39501	379.355
5.46025	31425	183.922
5.51186	30491	273.454
5.56301	34304	183.922
5.62329	33379	234.114
5.67962	31918	250.522
5.73626	31301	166.102
5.7929	29303	249.153
5.84482	28686	181.202
5.89674	26153	271.803
5.94394	24692	199.322
5.98642	24075	221.469
6.09026	20080	45.3005
6.1705	17238	58.6241
6.23658	15008	142.373
6.7462	15245	119.996
7.00573	15245	54.3753
7.15677	34323	155.72
7.33141	29029	107.742
7.57157	23755	117.52
7.64664	23154	125.33
7.76471	21651	39.8393
7.98677	14226	63.549
8.09511	13089	130.263
8.16591	11792	132.881
8.26975	10184	45.3005
8.85961	536	55.8239
9.47321	32886	7.66623
9.61967	24791	32.1169
10.3559	16443	63.8917
10.3984	15544	221.469
10.4409	14609	221.469
10.4834	14021	221.469
10.4975	13727	664.407
10.5447	12844	298.983
10.5825	12256	249.153
10.6297	11373	298.983
10.6674	10785	373.729
10.7099	9902	221.469
10.7571	9314	298.983
10.809	8040	181.448
10.8561	8040	299.43
11.1299	8221	309.293
11.1818	16621	181.202
11.786	15613	179.058
11.8332	14156	99.661
11.871	13588	124.344
11.9183	12199	99.5042
11.9608	11631	221.469
12.0269	10242	213.559
12.0835	9674	166.102
12.1024	9105	498.305
12.1543	7806	90.6009
12.2675	7504	249.316
12.3052	7504	124.809
12.3429	7504	124.809
12.3854	26950	221.469
12.4562	34145	132.881
12.5459	29674	209.813
12.7535	28133	67.9507
12.8904	30078	103.098
12.9376	29199	298.983
12.966	26966	331.38
12.999	26264	427.119
13.0416	25158	221.103
13.0841	24604	331.623
13.1219	22702	249.153
13.1549	22149	427.119
13.2069	20783	181.202
13.2588	20229	271.803
13.3107	17791	271.803
13.3579	17238	199.322
13.4193	16407	229.987
13.4853	15041	142.373
13.5467	14488	229.987
13.6458	12328	237.288
13.693	13483	199.322
13.7497	13400	166.102
13.8063	13483	166.102
13.8299	12864	398.644
13.8771	13400	298.983
13.9149	13483	249.153
13.9762	13400	613.299
14.1792	13400	46.354
14.2925	13400	207.627
14.3349	13483	221.469
14.6553	13400	220.28
15.5545	536	125.549
16.0859	16978	53.116
16.2181	14028	177.871
16.2748	12544	165.895
16.3362	11973	229.708
16.3976	10044	153.325
16.4601	9473	225.575
16.5593	6968	237.288
16.7056	6432	192.892
16.7622	7014	332.203
16.8236	6968	306.649
16.9745	7014	93.5219
17.0027	6968	333.031
17.1207	7014	119.593
17.4087	21196	245.068
17.6116	15934	115.885
17.6919	14684	293.121
17.7391	15592	199.025
17.7817	15008	331.654
17.8385	14155	165.496
17.8903	11693	272.501
17.9375	11124	199.322
17.9894	8663	90.6009
18.0366	7796	99.661
18.2396	6432	185.416
18.6736	7796	585.257
19.2778	34300	264.725
19.3428	27160	144.742
19.3948	31088	271.435
19.4515	30148	165.884
19.5128	27600	229.987
19.5695	26437	166.102
19.6308	23889	229.987
19.6922	22727	153.325
19.7583	19106	213.559
19.8149	16558	166.102
19.8668	15932	362.404
19.9707	11792	271.803
20.0179	9112	199.322
20.6881	13580	266.699
20.7967	12864	649.963
21.0179	12328	701.772
21.7705	536	62.5016
22.0425	18628	17.2913
22.5232	31198	9.7863
23.0284	26140	9.31152
23.4815	16616	10.3814
24.918	536	13.0989
25.1711	113531	18.5808
25.5913	31544	11.196
26.0823	39671	9.57996
26.644	15772	8.37488
27.3608	15544	19.6875
28.5254	536	8.07842
29.0368	27774	9.19755
29.2966	16451	18.1052
29.8253	10720	8.8983
30.3112	16606	9.68011
30.7314	11588	11.196
31.1953	5794	10.1404
31.4536	31692	18.2059
31.954	28317	9.40198
32.4494	14980	9.49476
32.86	11256	11.4553
33.346	58910	9.68011
33.8135	47072	10.0621
34.4978	14949	6.87392
35.0028	13400	9.31541
35.2453	14949	19.3934
35.5739	80910	14.3138
36.0252	39000	10.4238
36.8435	31368	5.74839
37.3726	30832	17.783
